net,length_um
u_gpio.led3_cnt_q\[18\],24.16µm
clknet_4_12_0_clk,24.08µm
m_arvalid\[0\],24µm
u_gpio.led3_cnt_q\[12\],24µm
u_gpio.led3_cnt_q\[19\],23.975µm
_0097_,23.88µm
u_gpio.led1_cnt_q\[21\],23.84µm
u_gpio.led3_cnt_q\[4\],23.84µm
_0176_,23.72µm
coh_fill_notify\[1\],23.7µm
u_gpio.led0_cnt_q\[7\],23.7µm
u_gpio.led4_cnt_q\[19\],23.22µm
net144,23.18µm
u_gpio.led4_cnt_q\[4\],23.14µm
u_coh.coh_state\[1\],22.8µm
_0158_,22.72µm
_0417_,22.58µm
u_gpio.led4_cnt_q\[5\],22.58µm
u_gpio.led4_cnt_q\[7\],22.54µm
u_gpio.led1_cnt_q\[1\],22.52µm
_0198_,22.495µm
_0169_,22.48µm
u_gpio.led4_cnt_q\[0\],22.38µm
u_gpio.led2_cnt_q\[7\],22.26µm
u_gpio.led3_cnt_q\[16\],22.18µm
_0227_,22µm
_0245_,21.96µm
_0146_,21.94µm
_0147_,21.82µm
_0130_,21.78µm
u_gpio.led0_cnt_q\[1\],21.72µm
_0168_,21.54µm
u_uart.tx_shift_q\[4\],21.48µm
_0416_,21.44µm
_0179_,21.42µm
clknet_4_2_0_clk,21.38µm
u_gpio.led2_cnt_q\[6\],21.24µm
u_sram.ar_ready_d,21.08µm
u_uart.tx_state_q\[3\],21.02µm
_0202_,21µm
u_arb.state_q\[0\],20.98µm
u_gpio.led2_cnt_q\[0\],20.88µm
_0102_,20.86µm
u_gpio.led4_cnt_q\[13\],20.84µm
net146,20.82µm
u_gpio.led2_cnt_q\[21\],20.7µm
_0432_,20.66µm
_0091_,20.62µm
_0110_,20.46µm
m_rready\[0\],20.44µm
net147,20.36µm
clknet_4_13_0_clk,20.32µm
u_uart.tx_baud_cnt_q\[1\],20.3µm
u_uart.tx_bitcnt_q\[1\],20.3µm
u_gpio.led4_cnt_q\[21\],20.24µm
u_uart.tx_baud_cnt_q\[5\],20.17µm
_0384_,20.1µm
clknet_4_7_0_clk,19.86µm
_0368_,19.74µm
_0327_,19.72µm
u_gpio.led3_cnt_q\[20\],19.62µm
_0122_,19.58µm
_0188_,19.56µm
u_coh.last_served,19.38µm
_0335_,19.335µm
u_gpio.led0_cnt_q\[19\],19.2µm
_0171_,19.19µm
net201,19.18µm
u_sram.aw_ready_d,19.14µm
_0143_,19.12µm
u_gpio.led3_cnt_q\[7\],19.12µm
u_gpio.led4_cnt_q\[14\],19.12µm
u_gpio.led2_cnt_q\[1\],19.06µm
_0145_,19.04µm
u_gpio.led4_cnt_q\[2\],19.04µm
u_gpio.led1_cnt_q\[19\],19.035µm
_0213_,19.02µm
u_gpio.led2_cnt_q\[19\],19µm
_0194_,18.98µm
u_gpio.led0_cnt_q\[14\],18.98µm
u_gpio.led4_cnt_q\[20\],18.96µm
coh_status\[3\],18.94µm
u_gpio.led3_cnt_q\[15\],18.9µm
clknet_4_3_0_clk,18.75µm
u_gpio.led0_cnt_q\[13\],18.72µm
_0429_,18.7µm
_0083_,18.66µm
_0117_,18.6µm
_0208_,18.48µm
m_bready\[1\],18.46µm
u_gpio.led3_cnt_q\[13\],18.44µm
_0390_,18.32µm
_0148_,18.28µm
coh_status\[7\],18.28µm
_0160_,18.24µm
_0411_,18.22µm
u_gpio.led2_cnt_q\[11\],18.22µm
_0212_,18.14µm
per_core\[0\].u_dcache.line_valid_reg\[2\]\[0\],18.14µm
_0175_,18.06µm
_0336_,18.06µm
_0329_,18µm
_0200_,17.88µm
u_gpio.led0_cnt_q\[16\],17.74µm
u_gpio.led1_cnt_q\[5\],17.72µm
_0079_,17.68µm
_0355_,17.68µm
_0247_,17.64µm
u_gpio.led2_cnt_q\[5\],17.56µm
u_gpio.led1_cnt_q\[14\],17.52µm
_0128_,17.475µm
u_gpio.led1_cnt_q\[17\],17.42µm
_0183_,17.32µm
_0218_,17.32µm
_0186_,17.29µm
u_gpio.led3_cnt_q\[1\],17.28µm
_0410_,17.22µm
_0328_,16.92µm
_0164_,16.9µm
_0192_,16.88µm
coh_status\[15\],16.74µm
_0142_,16.72µm
m_rready\[1\],16.68µm
led[4],16.655µm
_0100_,16.64µm
_0371_,16.58µm
_0107_,16.4µm
clknet_4_15_0_clk,16.36µm
_0157_,16.26µm
_0353_,16.26µm
_0356_,16.26µm
