net,length_um
_0354_,2.64µm
_0359_,2.64µm
u_gpio.led3_cnt_d\[13\],2.64µm
_0036_,2.62µm
_0345_,2.62µm
u_gpio.led1_cnt_d\[4\],2.62µm
u_gpio.led2_cnt_d\[14\],2.62µm
u_uart.tx_shift_q\[3\],2.62µm
u_uart.tx_shift_q\[9\],2.62µm
net179,2.62µm
net127,2.52µm
_0010_,2.5µm
_0334_,2.5µm
_0382_,2.5µm
u_gpio.led4_cnt_d\[1\],2.5µm
u_gpio.led4_cnt_d\[8\],2.5µm
net158,2.5µm
u_gpio.led4_cnt_d\[5\],2.345µm
_0270_,2.3µm
_0320_,2.3µm
u_gpio.led0_cnt_d\[20\],2.3µm
u_gpio.led2_cnt_d\[1\],2.3µm
u_gpio.led2_cnt_d\[2\],2.3µm
u_gpio.led3_cnt_d\[16\],2.3µm
u_gpio.led3_cnt_d\[1\],2.3µm
net98,2.3µm
net101,2.3µm
net118,2.3µm
net142,2.3µm
_0423_,2.28µm
u_gpio.led3_cnt_d\[20\],2.28µm
u_gpio.led4_cnt_d\[10\],2.28µm
u_gpio.led4_cnt_d\[13\],2.28µm
u_uart.tx_baud_cnt_d\[3\],2.28µm
_0277_,2.18µm
_0302_,2.18µm
_0021_,2.16µm
_0357_,2.16µm
u_coh.proc_core_q,2.16µm
u_gpio.led0_cnt_d\[1\],2.16µm
u_gpio.led1_cnt_d\[10\],2.16µm
u_gpio.led2_cnt_d\[18\],2.16µm
u_gpio.led2_cnt_d\[3\],2.16µm
u_gpio.led2_cnt_d\[5\],2.16µm
u_uart.tx_baud_cnt_d\[1\],2.16µm
_0141_,2.14µm
_0276_,2.04µm
u_gpio.led2_cnt_d\[13\],2.04µm
u_gpio.led2_cnt_d\[16\],2.04µm
u_gpio.led2_cnt_d\[21\],2.04µm
net193,2.04µm
_0000_,1.84µm
_0062_,1.84µm
_0070_,1.84µm
_0265_,1.84µm
net92,1.84µm
net96,1.84µm
net99,1.84µm
net150,1.84µm
_0054_,1.82µm
_0055_,1.82µm
net102,1.82µm
net180,1.82µm
_0402_,1.72µm
_0407_,1.72µm
net198,1.72µm
_0001_,1.7µm
_0273_,1.7µm
_0307_,1.7µm
u_gpio.led0_cnt_d\[13\],1.7µm
u_gpio.led1_cnt_d\[7\],1.7µm
u_gpio.led4_cnt_d\[21\],1.7µm
u_uart.tx_baud_cnt_d\[4\],1.7µm
_0260_,1.61µm
u_gpio.led0_cnt_d\[4\],1.425µm
_0149_,1.38µm
_0268_,1.38µm
_0324_,1.38µm
_0346_,1.38µm
_0367_,1.38µm
_0400_,1.38µm
net162,1.38µm
u_gpio.led3_cnt_d\[3\],1.36µm
net106,1.36µm
net105,1.14µm
_0040_,0.92µm
_0044_,0.92µm
_0259_,0.92µm
_0395_,0.92µm
_0404_,0.92µm
net93,0.92µm
net94,0.92µm
net153,0.92µm
net203,0.92µm
_0381_,0.46µm
net152,0.46µm
net184,0.46µm
