Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_52_269,VGND,li1,129.7200,152.3200,0.000007
FILLER_52_260,VGND,li1,125.3500,152.3200,0.000006
FILLER_52_253,VGND,li1,122.1300,152.3200,0.000006
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000006
FILLER_52_248,VGND,li1,120.2900,152.3200,0.000006
FILLER_52_245,VGND,li1,118.9100,152.3200,0.000006
FILLER_52_242,VGND,li1,117.5300,152.3200,0.000005
FILLER_52_239,VGND,li1,116.1500,152.3200,0.000005
FILLER_52_236,VGND,li1,114.7700,152.3200,0.000004
FILLER_52_233,VGND,li1,113.3900,152.3200,0.000004
FILLER_52_230,VGND,li1,112.0100,152.3200,0.000004
FILLER_52_227,VGND,li1,110.6300,152.3200,0.000004
FILLER_52_224,VGND,li1,109.2500,152.3200,0.000003
FILLER_52_221,VGND,li1,107.8700,152.3200,0.000003
FILLER_52_210,VGND,li1,102.5800,152.3200,0.000003
FILLER_52_207,VGND,li1,101.4300,152.3200,0.000003
FILLER_52_204,VGND,li1,100.0500,152.3200,0.000004
FILLER_52_197,VGND,li1,96.6000,152.3200,0.000004
FILLER_52_171,VGND,li1,84.6400,152.3200,0.000006
FILLER_52_168,VGND,li1,83.4900,152.3200,0.000006
FILLER_52_165,VGND,li1,82.1100,152.3200,0.000006
FILLER_52_162,VGND,li1,80.7300,152.3200,0.000006
FILLER_52_159,VGND,li1,79.3500,152.3200,0.000006
FILLER_52_156,VGND,li1,77.9700,152.3200,0.000006
FILLER_52_153,VGND,li1,76.5900,152.3200,0.000006
FILLER_52_150,VGND,li1,75.2100,152.3200,0.000006
FILLER_52_147,VGND,li1,73.8300,152.3200,0.000007
FILLER_52_144,VGND,li1,72.4500,152.3200,0.000007
FILLER_52_141,VGND,li1,71.0700,152.3200,0.000007
FILLER_52_122,VGND,li1,61.8700,152.3200,0.000007
FILLER_52_119,VGND,li1,60.9500,152.3200,0.000007
FILLER_52_116,VGND,li1,59.5700,152.3200,0.000007
FILLER_52_113,VGND,li1,58.1900,152.3200,0.000006
FILLER_52_110,VGND,li1,56.8100,152.3200,0.000006
FILLER_52_83,VGND,li1,43.9300,152.3200,0.000006
FILLER_52_80,VGND,li1,43.0100,152.3200,0.000005
FILLER_52_77,VGND,li1,41.6300,152.3200,0.000005
FILLER_52_74,VGND,li1,40.2500,152.3200,0.000005
FILLER_52_71,VGND,li1,38.8700,152.3200,0.000005
